Year,Sex,0to4YearOlds,5to9YearOlds,10to14YearOlds,15to19YearOlds,20to24YearOlds,25to29YearOlds,30to34YearOlds,35to39YearOlds,40to44YearOlds,45to49YearOlds,50to54YearOlds,55to59YearOlds,60to64YearOlds,65to69YearOlds,70to74YearOlds,75to79YearOlds,80to84YearOlds,85YearsAndOlder,TotalPopulation,Midpoint,Bin,Percent,MedianAge,0to4YearOldsCumSum,5to9YearOldsCumSum,10to14YearOldsCumSum,15to19YearOldsCumSum,20to24YearOldsCumSum,25to29YearOldsCumSum,30to34YearOldsCumSum,35to39YearOldsCumSum,40to44YearOldsCumSum,45to49YearOldsCumSum,50to54YearOldsCumSum,55to59YearOldsCumSum,60to64YearOldsCumSum,65to69YearOldsCumSum,70to74YearOldsCumSum,75to79YearOldsCumSum,80to84YearOldsCumSum,85YearsAndOlderCumSum
1970,Total,59048,71051,75375,65289,55172,47385,39481,38694,42756,42848,37050,32403,28365,22651,16921,11382,6736,4561,697168,348584,25to29YearOldsCumSum,0.477978,26.91191,59048,130099,205474,270763,325935,373320,412801,451495,494251,537099,574149,606552,634917,657568,674489,685871,692607,697168
1970,Female,28926,34861,37076,32901,30002,24361,20537,20278,22152,22251,19257,17345,15725,12959,10297,7237,4568,3225,363958,181979,25to29YearOldsCumSum,0.747629,27.99052,28926,63787,100863,133764,163766,188127,208664,228942,251094,273345,292602,309947,325672,338631,348928,356165,360733,363958
1970,Male,30122,36190,38299,32388,25170,23024,18944,18416,20604,20597,17793,15058,12640,9692,6624,4145,2168,1336,333210,166605,25to29YearOldsCumSum,0.192669,25.77067,30122,66312,104611,136999,162169,185193,204137,222553,243157,263754,281547,296605,309245,318937,325561,329706,331874,333210
1971,Total,59480,68557,75365,66813,59270,48819,40555,38180,41970,42830,38199,33016,28758,23194,17247,11670,6976,4714,705613,352807,25to29YearOldsCumSum,0.477714,26.91085,59480,128037,203402,270215,329485,378304,418859,457039,499009,541839,580038,613054,641812,665006,682253,693923,700899,705613
1971,Female,29116,33645,37015,33578,31652,25084,20975,20010,21746,22315,19882,17626,15936,13278,10487,7499,4772,3364,367980,183990,25to29YearOldsCumSum,0.756817,28.02727,29116,62761,99776,133354,165006,190090,211065,231075,252821,275136,295018,312644,328580,341858,352345,359844,364616,367980
1971,Male,30364,34912,38350,33235,27618,23735,19580,18170,20224,20515,18317,15390,12822,9916,6760,4171,2204,1350,337633,168817,25to29YearOldsCumSum,0.182747,25.73099,30364,65276,103626,136861,164479,188214,207794,225964,246188,266703,285020,300410,313232,323148,329908,334079,336283,337633
1972,Total,58296,64994,73390,67440,58978,52720,41534,37394,40526,41849,39025,33081,28677,23746,17576,11959,7220,4862,703267,351634,25to29YearOldsCumSum,0.541265,27.16506,58296,123290,196680,264120,323098,375818,417352,454746,495272,537121,576146,609227,637904,661650,679226,691185,698405,703267
1972,Female,28522,31908,35994,33849,31075,27015,21344,19585,21005,21853,20341,17616,15883,13601,10682,7764,4977,3499,366513,183257,25to29YearOldsCumSum,0.810975,28.2439,28522,60430,96424,130273,161348,188363,209707,229292,250297,272150,292491,310107,325990,339591,350273,358037,363014,366513
1972,Male,29774,33086,37396,33591,27903,25705,20190,17809,19521,19996,18684,15465,12794,10145,6894,4195,2243,1363,336754,168377,25to29YearOldsCumSum,0.25781,26.03124,29774,62860,100256,133847,161750,187455,207645,225454,244975,264971,283655,299120,311914,322059,328953,333148,335391,336754
1973,Total,57669,62411,72332,68840,60549,55058,44169,37422,39719,41669,40220,33608,28996,24304,17913,12253,7463,5012,709607,354804,25to29YearOldsCumSum,0.599413,27.39765,57669,120080,192412,261252,321801,376859,421028,458450,498169,539838,580058,613666,642662,666966,684879,697132,704595,709607
1973,Female,28211,30647,35418,34514,31671,28210,22565,19588,20629,21785,21016,17851,16053,13927,10880,8030,5182,3636,369813,184907,25to29YearOldsCumSum,0.866554,28.46622,28211,58858,94276,128790,160461,188671,211236,230824,251453,273238,294254,312105,328158,342085,352965,360995,366177,369813
1973,Male,29458,31764,36914,34326,28878,26848,21604,17834,19090,19884,19204,15757,12943,10377,7033,4223,2281,1376,339794,169897,25to29YearOldsCumSum,0.31872,26.27488,29458,61222,98136,132462,161340,188188,209792,227626,246716,266600,285804,301561,314504,324881,331914,336137,338418,339794
1974,Total,56366,59836,70754,69548,61954,57757,45817,37462,38670,41132,40912,33935,29136,24543,18264,12536,7689,5282,711593,355797,25to29YearOldsCumSum,0.646476,27.5859,56366,116202,186956,256504,318458,376215,422032,459494,498164,539296,580208,614143,643279,667822,686086,698622,706311,711593
1974,Female,27550,29400,34567,34852,32245,29618,23313,19615,20131,21536,21410,17979,16123,14139,11149,8216,5361,3865,371069,185535,25to29YearOldsCumSum,0.908924,28.63569,27550,56950,91517,126369,158614,188232,211545,231160,251291,272827,294237,312216,328339,342478,353627,361843,367204,371069
1974,Male,28816,30436,36187,34696,29709,28139,22504,17847,18539,19596,19502,15956,13013,10404,7115,4320,2328,1417,340524,170262,25to29YearOldsCumSum,0.370233,26.48093,28816,59252,95439,130135,159844,187983,210487,228334,246873,266469,285971,301927,314940,325344,332459,336779,339107,340524
1975,Total,54582,57595,68083,69347,63120,60061,46867,37188,37233,40409,40895,33991,29051,24793,18629,12823,7913,5550,708130,354065,25to29YearOldsCumSum,0.688267,27.75307,54582,112177,180260,249607,312727,372788,419655,456843,494076,534485,575380,609371,638422,663215,681844,694667,702580,708130
